Record_ID,City,Province,Healthcare_Facility_Name,Facility_Type,Public_or_Private,Number_of_Beds,Number_of_Doctors,Number_of_Nurses,Daily_Patient_Capacity,Emergency_Service,Average_Rating,
242,Sialkot,Punjab,Sialkot Healthcare Facility 242,Medical Center,Public,595,233,500,668,Yes,4.3,
243,Sialkot,Punjab,Sialkot Healthcare Facility 243,Hospital,Public,595,284,429,1519,Yes,2.9,
244,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 244,Medical Center,Public,595,134,106,1806,Yes,4.7,
245,Quetta,Balochistan,Quetta Healthcare Facility 245,Maternity Home,Public,594,265,570,892,Yes,3.4,
246,Multan,Punjab,Multan Healthcare Facility 246,Clinic,Public,594,164,83,1125,Yes,3.4,
247,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 247,Maternity Home,Private,592,207,169,519,Yes,4.4,
248,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 248,Clinic,Private,591,89,113,221,Yes,4,
249,Sukkur,Sindh,Sukkur Healthcare Facility 249,Diagnostic Lab,Public,590,60,582,1000,No,2.6,
250,Hyderabad,Sindh,Hyderabad Healthcare Facility 250,Maternity Home,Private,590,129,588,487,Yes,4.3,
251,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 251,Clinic,Private,589,43,248,982,Yes,2.7,
252,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 252,Clinic,Private,589,172,135,245,No,2.9,
253,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 253,Diagnostic Lab,Private,588,45,36,799,Yes,3.2,
254,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 254,Medical Center,Private,588,20,360,1083,No,2.8,
255,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 255,Maternity Home,Private,587,161,72,1089,No,5,
256,Faisalabad,Punjab,Faisalabad Healthcare Facility 256,Clinic,Private,584,72,396,64,No,4,
257,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 257,Diagnostic Lab,Public,583,286,544,1791,No,3.5,
258,Lahore,Punjab,Lahore Healthcare Facility 258,Diagnostic Lab,Public,583,98,553,184,Yes,4,
259,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 259,Clinic,Private,582,167,288,62,Yes,4.2,
260,Faisalabad,Punjab,Faisalabad Healthcare Facility 260,Hospital,Public,582,289,364,489,No,5,
261,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 261,Medical Center,Public,582,47,145,632,No,4.7,
262,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 262,Maternity Home,Public,580,29,229,791,Yes,4.4,
263,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 263,Clinic,Public,580,178,25,1941,Yes,2.6,
264,Lahore,Punjab,Lahore Healthcare Facility 264,Medical Center,Public,577,215,403,1707,No,3.1,
265,Lahore,Punjab,Lahore Healthcare Facility 265,Diagnostic Lab,Private,576,234,87,1215,No,4.4,
266,Sialkot,Punjab,Sialkot Healthcare Facility 266,Medical Center,Private,576,33,364,238,No,3.1,
267,Hyderabad,Sindh,Hyderabad Healthcare Facility 267,Maternity Home,Public,576,165,384,1066,No,4.5,
268,Sialkot,Punjab,Sialkot Healthcare Facility 268,Maternity Home,Public,575,227,254,1340,No,4.2,
269,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 269,Medical Center,Private,575,254,532,1844,Yes,3.4,
270,Hyderabad,Sindh,Hyderabad Healthcare Facility 270,Maternity Home,Public,574,229,366,696,Yes,4.6,
271,Sialkot,Punjab,Sialkot Healthcare Facility 271,Maternity Home,Private,573,260,90,795,No,3.7,
272,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 272,Diagnostic Lab,Private,573,175,381,1038,No,4.9,
273,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 273,Diagnostic Lab,Public,573,265,565,468,No,2.8,
274,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 274,Clinic,Private,572,235,526,67,No,3.5,
275,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 275,Clinic,Private,572,145,389,154,No,2.7,
276,Faisalabad,Punjab,Faisalabad Healthcare Facility 276,Medical Center,Private,570,236,577,1909,Yes,4.9,
277,Faisalabad,Punjab,Faisalabad Healthcare Facility 277,Hospital,Private,569,132,206,1596,Yes,2.7,
278,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 278,Clinic,Public,568,62,44,455,Yes,3.6,
279,Faisalabad,Punjab,Faisalabad Healthcare Facility 279,Maternity Home,Public,568,255,370,1175,No,2.8,
280,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 280,Medical Center,Public,567,205,493,129,No,4.9,
281,Sialkot,Punjab,Sialkot Healthcare Facility 281,Hospital,Public,566,215,212,290,No,4.2,
282,Lahore,Punjab,Lahore Healthcare Facility 282,Clinic,Private,566,193,149,1501,No,4,
283,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 283,Maternity Home,Private,564,180,548,1085,No,4.7,
284,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 284,Diagnostic Lab,Private,564,59,265,1001,No,3.5,
285,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 285,Medical Center,Private,563,89,418,1985,Yes,3.3,
286,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 286,Medical Center,Public,562,97,178,946,No,3,
287,Multan,Punjab,Multan Healthcare Facility 287,Hospital,Public,562,104,144,570,Yes,3,
288,Gujranwala,Punjab,Gujranwala Healthcare Facility 288,Medical Center,Public,562,100,501,180,Yes,4.6,
289,Sialkot,Punjab,Sialkot Healthcare Facility 289,Medical Center,Public,561,61,470,986,Yes,3.5,
290,Lahore,Punjab,Lahore Healthcare Facility 290,Hospital,Public,559,130,14,290,No,3.9,
291,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 291,Hospital,Public,559,274,194,1781,Yes,2.5,
292,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 292,Medical Center,Public,559,76,199,1242,Yes,2.5,
293,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 293,Hospital,Private,557,272,109,1077,No,2.7,
294,Gujranwala,Punjab,Gujranwala Healthcare Facility 294,Clinic,Public,557,14,353,887,No,5,
295,Karachi,Sindh,Karachi Healthcare Facility 295,Diagnostic Lab,Private,556,165,324,925,No,4.3,
296,Faisalabad,Punjab,Faisalabad Healthcare Facility 296,Diagnostic Lab,Private,554,77,455,409,Yes,4.7,
297,Quetta,Balochistan,Quetta Healthcare Facility 297,Medical Center,Private,554,80,548,1991,Yes,3.6,
298,Karachi,Sindh,Karachi Healthcare Facility 298,Clinic,Private,553,14,383,1778,Yes,3.2,
299,Lahore,Punjab,Lahore Healthcare Facility 299,Clinic,Public,553,249,97,1502,Yes,3.6,
300,Faisalabad,Punjab,Faisalabad Healthcare Facility 300,Diagnostic Lab,Private,552,105,169,749,No,3.6,
301,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 301,Maternity Home,Public,552,285,84,496,Yes,4.4,
302,Quetta,Balochistan,Quetta Healthcare Facility 302,Clinic,Private,551,164,365,312,Yes,4.8,
303,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 303,Maternity Home,Public,551,114,455,1440,No,4.4,
304,Karachi,Sindh,Karachi Healthcare Facility 304,Hospital,Private,551,228,314,1080,No,3.6,
305,Sialkot,Punjab,Sialkot Healthcare Facility 305,Maternity Home,Public,550,214,279,1656,Yes,3.1,
306,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 306,Maternity Home,Private,549,13,410,328,No,4.1,
307,Sukkur,Sindh,Sukkur Healthcare Facility 307,Hospital,Private,549,52,414,429,Yes,3.2,
308,Faisalabad,Punjab,Faisalabad Healthcare Facility 308,Diagnostic Lab,Public,548,99,390,1509,Yes,3.9,
309,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 309,Medical Center,Private,546,287,236,847,No,4.5,
310,Karachi,Sindh,Karachi Healthcare Facility 310,Clinic,Private,544,281,101,1752,No,3.2,
311,Gujranwala,Punjab,Gujranwala Healthcare Facility 311,Diagnostic Lab,Private,544,40,490,626,No,2.6,
312,Gujranwala,Punjab,Gujranwala Healthcare Facility 312,Diagnostic Lab,Public,544,89,296,1005,Yes,3.6,
313,Hyderabad,Sindh,Hyderabad Healthcare Facility 313,Maternity Home,Private,543,112,511,1088,No,4.7,
314,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 314,Medical Center,Private,542,56,363,1062,No,4.3,
315,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 315,Clinic,Private,542,191,187,1399,No,4,
316,Karachi,Sindh,Karachi Healthcare Facility 316,Diagnostic Lab,Private,540,100,181,1012,No,2.6,
317,Gujranwala,Punjab,Gujranwala Healthcare Facility 317,Hospital,Public,540,241,543,570,No,3.8,
318,Faisalabad,Punjab,Faisalabad Healthcare Facility 318,Diagnostic Lab,Public,539,76,284,1930,No,2.5,
319,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 319,Clinic,Public,538,77,541,1048,No,3.5,
320,Lahore,Punjab,Lahore Healthcare Facility 320,Clinic,Public,538,28,321,1421,No,2.5,
321,Gujranwala,Punjab,Gujranwala Healthcare Facility 321,Clinic,Private,537,277,409,1296,No,3,
322,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 322,Maternity Home,Public,536,140,538,830,No,4.5,
323,Sialkot,Punjab,Sialkot Healthcare Facility 323,Clinic,Public,535,289,361,567,Yes,4,
324,Quetta,Balochistan,Quetta Healthcare Facility 324,Clinic,Private,535,178,290,1924,Yes,3.8,
325,Quetta,Balochistan,Quetta Healthcare Facility 325,Clinic,Public,534,204,525,957,No,3.4,
326,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 326,Diagnostic Lab,Private,534,228,298,1498,Yes,2.8,
327,Lahore,Punjab,Lahore Healthcare Facility 327,Maternity Home,Private,533,290,368,712,No,3,
328,Sialkot,Punjab,Sialkot Healthcare Facility 328,Medical Center,Public,532,79,386,1836,Yes,4.1,
329,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 329,Maternity Home,Public,531,67,96,1932,No,4.1,
330,Hyderabad,Sindh,Hyderabad Healthcare Facility 330,Medical Center,Private,531,279,404,1102,Yes,4.3,
331,Multan,Punjab,Multan Healthcare Facility 331,Medical Center,Private,531,6,296,1265,No,4.8,
332,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 332,Diagnostic Lab,Private,530,277,443,128,Yes,3.9,
333,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 333,Hospital,Private,529,25,263,873,No,4.2,
334,Karachi,Sindh,Karachi Healthcare Facility 334,Hospital,Public,528,78,330,741,No,4.5,
335,Faisalabad,Punjab,Faisalabad Healthcare Facility 335,Clinic,Private,528,232,258,805,Yes,3,
336,Sukkur,Sindh,Sukkur Healthcare Facility 336,Medical Center,Public,527,148,488,907,No,2.7,
337,Gujranwala,Punjab,Gujranwala Healthcare Facility 337,Medical Center,Public,527,246,526,1990,No,2.6,
338,Sukkur,Sindh,Sukkur Healthcare Facility 338,Maternity Home,Private,524,130,552,833,No,2.6,
339,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 339,Hospital,Private,522,141,590,1397,Yes,3.4,
340,Gujranwala,Punjab,Gujranwala Healthcare Facility 340,Hospital,Private,522,62,273,1122,No,4.6,
341,Sialkot,Punjab,Sialkot Healthcare Facility 341,Diagnostic Lab,Private,522,155,28,1123,No,3.6,
342,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 342,Maternity Home,Public,522,194,543,53,No,3.3,
343,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 343,Maternity Home,Private,522,110,188,876,No,3.5,
344,Sialkot,Punjab,Sialkot Healthcare Facility 344,Maternity Home,Public,521,206,523,843,No,2.7,
345,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 345,Diagnostic Lab,Private,521,7,579,1552,Yes,3.2,
346,Sukkur,Sindh,Sukkur Healthcare Facility 346,Medical Center,Public,520,291,227,1066,No,3.3,
347,Gujranwala,Punjab,Gujranwala Healthcare Facility 347,Clinic,Private,520,223,339,1990,Yes,3.3,
348,Multan,Punjab,Multan Healthcare Facility 348,Diagnostic Lab,Public,519,114,550,799,No,4.1,
349,Multan,Punjab,Multan Healthcare Facility 349,Hospital,Public,519,277,517,1712,Yes,3.9,
350,Karachi,Sindh,Karachi Healthcare Facility 350,Diagnostic Lab,Public,518,165,560,809,Yes,3.5,
351,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 351,Clinic,Private,518,31,541,943,No,4.7,
352,Karachi,Sindh,Karachi Healthcare Facility 352,Diagnostic Lab,Private,518,116,207,1984,Yes,3.6,
353,Faisalabad,Punjab,Faisalabad Healthcare Facility 353,Clinic,Public,517,291,141,1218,Yes,3.4,
354,Faisalabad,Punjab,Faisalabad Healthcare Facility 354,Medical Center,Private,517,176,123,518,No,3.2,
355,Sukkur,Sindh,Sukkur Healthcare Facility 355,Medical Center,Public,517,140,216,515,Yes,4.9,
356,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 356,Maternity Home,Private,516,226,274,104,No,2.9,
357,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 357,Diagnostic Lab,Public,516,141,503,202,Yes,4,
358,Lahore,Punjab,Lahore Healthcare Facility 358,Diagnostic Lab,Private,514,212,109,946,Yes,3.4,
359,Quetta,Balochistan,Quetta Healthcare Facility 359,Hospital,Public,514,15,138,692,No,4.8,
360,Multan,Punjab,Multan Healthcare Facility 360,Medical Center,Public,513,8,128,178,Yes,3.7,
361,Faisalabad,Punjab,Faisalabad Healthcare Facility 361,Hospital,Public,511,95,231,880,Yes,2.6,
362,Hyderabad,Sindh,Hyderabad Healthcare Facility 362,Medical Center,Public,511,206,228,1601,No,4.6,
363,Karachi,Sindh,Karachi Healthcare Facility 363,Medical Center,Private,511,126,166,312,Yes,4.8,
364,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 364,Medical Center,Public,510,51,517,413,Yes,3.7,
365,Sukkur,Sindh,Sukkur Healthcare Facility 365,Hospital,Public,510,267,592,1640,No,3,
366,Hyderabad,Sindh,Hyderabad Healthcare Facility 366,Maternity Home,Public,510,23,595,1869,No,3.5,
367,Lahore,Punjab,Lahore Healthcare Facility 367,Hospital,Public,509,20,223,1698,No,3.1,
368,Sukkur,Sindh,Sukkur Healthcare Facility 368,Medical Center,Public,509,195,569,615,No,4.4,
369,Hyderabad,Sindh,Hyderabad Healthcare Facility 369,Maternity Home,Private,507,176,27,1493,No,2.6,
370,Multan,Punjab,Multan Healthcare Facility 370,Hospital,Public,507,286,47,365,No,4.3,
371,Faisalabad,Punjab,Faisalabad Healthcare Facility 371,Maternity Home,Private,506,59,513,1010,No,4.7,
372,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 372,Clinic,Private,503,199,546,497,No,3.8,
373,Lahore,Punjab,Lahore Healthcare Facility 373,Maternity Home,Private,502,298,384,661,No,3.2,
374,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 374,Clinic,Public,501,225,250,204,No,2.9,
375,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 375,Medical Center,Public,501,28,395,1150,No,4.6,
376,Sialkot,Punjab,Sialkot Healthcare Facility 376,Hospital,Private,500,49,561,1138,No,4.2,
377,Lahore,Punjab,Lahore Healthcare Facility 377,Maternity Home,Private,500,196,233,290,No,4.3,
378,Faisalabad,Punjab,Faisalabad Healthcare Facility 378,Diagnostic Lab,Public,500,174,299,1794,Yes,3.1,
379,Gujranwala,Punjab,Gujranwala Healthcare Facility 379,Hospital,Private,500,201,271,338,No,2.7,
380,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 380,Hospital,Public,500,175,175,1892,No,3.9,
381,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 381,Maternity Home,Private,499,149,90,1143,No,4.4,
382,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 382,Clinic,Public,497,142,218,1883,No,3.9,
383,Karachi,Sindh,Karachi Healthcare Facility 383,Medical Center,Public,496,252,30,329,Yes,3.5,
384,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 384,Diagnostic Lab,Public,496,44,136,1135,No,2.6,
385,Hyderabad,Sindh,Hyderabad Healthcare Facility 385,Diagnostic Lab,Public,496,219,202,186,Yes,3.1,
386,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 386,Clinic,Private,496,43,488,1002,No,4.8,
387,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 387,Hospital,Public,495,125,74,203,Yes,4.8,
388,Sukkur,Sindh,Sukkur Healthcare Facility 388,Hospital,Public,495,43,573,521,No,4.3,
389,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 389,Hospital,Private,495,128,36,1920,Yes,3.9,
390,Multan,Punjab,Multan Healthcare Facility 390,Diagnostic Lab,Private,494,75,166,1297,No,2.6,
391,Quetta,Balochistan,Quetta Healthcare Facility 391,Clinic,Public,494,46,28,966,Yes,4.5,
392,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 392,Clinic,Public,493,233,556,217,Yes,3.7,
393,Faisalabad,Punjab,Faisalabad Healthcare Facility 393,Diagnostic Lab,Private,493,212,224,54,No,4.8,
394,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 394,Clinic,Public,491,256,410,1520,No,3.7,
395,Karachi,Sindh,Karachi Healthcare Facility 395,Diagnostic Lab,Private,491,259,342,282,No,5,
396,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 396,Diagnostic Lab,Public,490,169,592,1588,No,2.6,
397,Karachi,Sindh,Karachi Healthcare Facility 397,Medical Center,Private,490,123,308,1952,Yes,2.9,
398,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 398,Hospital,Public,490,176,476,890,Yes,2.9,
399,Karachi,Sindh,Karachi Healthcare Facility 399,Maternity Home,Public,489,278,414,1298,No,2.6,
400,Sukkur,Sindh,Sukkur Healthcare Facility 400,Medical Center,Public,489,265,297,1875,No,2.9,
401,Multan,Punjab,Multan Healthcare Facility 401,Medical Center,Private,489,179,228,274,Yes,2.6,
402,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 402,Hospital,Private,488,199,91,774,No,5,
403,Sialkot,Punjab,Sialkot Healthcare Facility 403,Diagnostic Lab,Public,488,198,226,1795,Yes,4.5,
404,Sukkur,Sindh,Sukkur Healthcare Facility 404,Medical Center,Public,487,160,177,1083,No,3.8,
405,Faisalabad,Punjab,Faisalabad Healthcare Facility 405,Diagnostic Lab,Public,486,134,138,1385,Yes,2.6,
406,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 406,Clinic,Public,486,246,102,1009,No,4.6,
407,Quetta,Balochistan,Quetta Healthcare Facility 407,Medical Center,Public,485,206,401,1099,No,5,
408,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 408,Diagnostic Lab,Private,485,165,191,1381,No,2.8,
409,Hyderabad,Sindh,Hyderabad Healthcare Facility 409,Hospital,Private,484,26,574,1512,Yes,2.5,
410,Quetta,Balochistan,Quetta Healthcare Facility 410,Hospital,Public,482,20,570,629,Yes,3.7,
411,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 411,Maternity Home,Public,482,251,32,522,Yes,3,
412,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 412,Maternity Home,Private,482,65,382,1699,Yes,4,
413,Sukkur,Sindh,Sukkur Healthcare Facility 413,Maternity Home,Private,482,50,460,1685,Yes,4,
414,Multan,Punjab,Multan Healthcare Facility 414,Hospital,Private,480,16,203,1901,No,3.9,
415,Sukkur,Sindh,Sukkur Healthcare Facility 415,Diagnostic Lab,Private,480,108,394,931,No,3.7,
416,Multan,Punjab,Multan Healthcare Facility 416,Medical Center,Public,480,104,321,592,Yes,4.6,
417,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 417,Diagnostic Lab,Public,478,45,397,1040,No,2.7,
418,Quetta,Balochistan,Quetta Healthcare Facility 418,Medical Center,Private,477,31,502,741,Yes,3.2,
419,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 419,Hospital,Private,477,248,177,899,No,4.9,
420,Sialkot,Punjab,Sialkot Healthcare Facility 420,Clinic,Private,476,61,278,122,No,2.6,
421,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 421,Hospital,Public,475,48,480,1410,No,2.7,
422,Karachi,Sindh,Karachi Healthcare Facility 422,Hospital,Private,475,165,497,916,Yes,3,
423,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 423,Hospital,Private,471,299,70,1130,Yes,3.3,
424,Gujranwala,Punjab,Gujranwala Healthcare Facility 424,Clinic,Public,471,160,303,1012,Yes,4.3,
425,Sukkur,Sindh,Sukkur Healthcare Facility 425,Medical Center,Public,468,169,281,1405,No,4.9,
426,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 426,Medical Center,Public,467,130,85,713,No,4.8,
427,Gujranwala,Punjab,Gujranwala Healthcare Facility 427,Clinic,Public,466,286,182,557,No,5,
428,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 428,Clinic,Private,466,71,293,1089,Yes,2.8,
429,Gujranwala,Punjab,Gujranwala Healthcare Facility 429,Hospital,Public,465,228,456,1129,Yes,3.8,
430,Lahore,Punjab,Lahore Healthcare Facility 430,Diagnostic Lab,Public,465,159,218,213,Yes,4.9,
431,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 431,Medical Center,Public,464,186,159,1398,Yes,4,
432,Quetta,Balochistan,Quetta Healthcare Facility 432,Diagnostic Lab,Public,463,264,79,282,No,2.8,
433,Hyderabad,Sindh,Hyderabad Healthcare Facility 433,Medical Center,Private,461,114,554,667,Yes,4.5,
434,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 434,Maternity Home,Public,461,74,123,820,Yes,2.6,
435,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 435,Clinic,Public,461,218,497,928,Yes,3.9,
436,Lahore,Punjab,Lahore Healthcare Facility 436,Diagnostic Lab,Private,461,30,57,1427,No,4.9,
437,Karachi,Sindh,Karachi Healthcare Facility 437,Hospital,Public,460,256,383,1379,Yes,4.4,
438,Hyderabad,Sindh,Hyderabad Healthcare Facility 438,Hospital,Private,460,117,598,1864,No,5,
439,Multan,Punjab,Multan Healthcare Facility 439,Diagnostic Lab,Public,458,59,573,577,Yes,2.6,
440,Lahore,Punjab,Lahore Healthcare Facility 440,Medical Center,Public,457,114,389,1408,Yes,2.6,
441,Sialkot,Punjab,Sialkot Healthcare Facility 441,Medical Center,Private,455,72,489,523,No,2.5,
442,Hyderabad,Sindh,Hyderabad Healthcare Facility 442,Hospital,Private,455,297,186,80,Yes,2.5,
443,Karachi,Sindh,Karachi Healthcare Facility 443,Clinic,Public,454,18,394,1721,No,4.6,
444,Hyderabad,Sindh,Hyderabad Healthcare Facility 444,Clinic,Public,452,281,574,1222,No,4.1,
445,Sukkur,Sindh,Sukkur Healthcare Facility 445,Diagnostic Lab,Public,451,42,450,71,No,4.2,
446,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 446,Maternity Home,Public,450,77,320,155,Yes,3.5,
447,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 447,Medical Center,Private,450,249,476,976,No,4.3,
448,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 448,Diagnostic Lab,Private,449,94,424,523,Yes,4.1,
449,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 449,Maternity Home,Private,448,114,109,754,No,4.2,
450,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 450,Clinic,Public,447,47,199,951,Yes,4.5,
451,Karachi,Sindh,Karachi Healthcare Facility 451,Clinic,Public,446,54,291,1049,Yes,2.9,
452,Lahore,Punjab,Lahore Healthcare Facility 452,Maternity Home,Public,446,199,81,1174,No,3.1,
453,Multan,Punjab,Multan Healthcare Facility 453,Clinic,Public,445,11,521,630,No,4.3,
454,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 454,Diagnostic Lab,Public,445,274,26,1001,No,3.7,
455,Multan,Punjab,Multan Healthcare Facility 455,Clinic,Public,445,272,113,1778,No,2.5,
456,Faisalabad,Punjab,Faisalabad Healthcare Facility 456,Maternity Home,Public,439,164,216,258,No,3.6,
457,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 457,Diagnostic Lab,Public,439,115,316,348,No,2.7,
458,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 458,Diagnostic Lab,Private,438,9,401,733,No,4.4,
459,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 459,Diagnostic Lab,Public,437,44,261,1459,Yes,3.9,
460,Quetta,Balochistan,Quetta Healthcare Facility 460,Clinic,Private,437,288,342,366,Yes,3.4,
461,Gujranwala,Punjab,Gujranwala Healthcare Facility 461,Clinic,Public,437,82,288,301,Yes,4.1,
462,Faisalabad,Punjab,Faisalabad Healthcare Facility 462,Diagnostic Lab,Public,436,252,41,1938,No,2.9,
463,Gujranwala,Punjab,Gujranwala Healthcare Facility 463,Diagnostic Lab,Public,436,28,420,1687,No,3.2,
464,Karachi,Sindh,Karachi Healthcare Facility 464,Diagnostic Lab,Public,435,21,128,1400,No,3.4,
465,Karachi,Sindh,Karachi Healthcare Facility 465,Clinic,Public,435,189,221,534,No,4.1,
466,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 466,Medical Center,Public,434,175,136,1197,Yes,2.7,
467,Faisalabad,Punjab,Faisalabad Healthcare Facility 467,Hospital,Private,431,27,33,1212,Yes,4.6,
468,Sukkur,Sindh,Sukkur Healthcare Facility 468,Hospital,Private,430,118,144,659,Yes,3.2,
469,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 469,Maternity Home,Private,430,172,564,878,Yes,2.6,
470,Quetta,Balochistan,Quetta Healthcare Facility 470,Maternity Home,Public,430,275,546,1529,Yes,3.8,
471,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 471,Hospital,Public,430,146,491,751,Yes,2.8,
472,Sukkur,Sindh,Sukkur Healthcare Facility 472,Hospital,Private,429,71,27,819,No,2.7,
473,Lahore,Punjab,Lahore Healthcare Facility 473,Diagnostic Lab,Private,428,25,598,995,No,4.7,
474,Sukkur,Sindh,Sukkur Healthcare Facility 474,Maternity Home,Private,427,17,400,703,Yes,2.9,
475,Gujranwala,Punjab,Gujranwala Healthcare Facility 475,Diagnostic Lab,Public,427,69,505,371,Yes,3,
476,Sukkur,Sindh,Sukkur Healthcare Facility 476,Clinic,Public,427,151,593,676,No,3.8,
477,Quetta,Balochistan,Quetta Healthcare Facility 477,Maternity Home,Private,426,88,172,730,Yes,4.7,
478,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 478,Diagnostic Lab,Private,425,222,235,1025,Yes,5,
479,Multan,Punjab,Multan Healthcare Facility 479,Maternity Home,Public,424,25,436,235,No,4.7,
480,Sialkot,Punjab,Sialkot Healthcare Facility 480,Medical Center,Public,424,5,325,519,Yes,3.3,
481,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 481,Clinic,Public,424,8,51,1797,Yes,4.9,
482,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 482,Maternity Home,Public,423,30,41,1682,Yes,4.1,
483,Hyderabad,Sindh,Hyderabad Healthcare Facility 483,Medical Center,Public,422,32,502,1425,Yes,2.8,
